datetime,signal,close
2025-08-19 15:06:19.361011,HOLD,178.33
2025-08-19 15:10:18.194462,HOLD,178.25
2025-08-19 15:14:47.795515,HOLD,178.35
2025-08-19 15:19:48.950938,HOLD,178.57
2025-08-19 15:24:49.969355,HOLD,178.07
2025-08-19 15:36:37.805180,HOLD,178.15
2025-08-19 15:41:38.788670,HOLD,178.02
2025-08-19 15:46:39.727204,HOLD,178.48
2025-08-19 15:51:40.840272,HOLD,178.35
2025-08-19 15:56:41.755807,HOLD,178.19
2025-08-19 16:04:51.030554,HOLD,178.00
2025-08-19 16:09:51.994383,HOLD,177.51
2025-08-19 16:14:53.042119,HOLD,176.98
2025-08-19 16:19:54.088413,HOLD,177.23
2025-08-19 16:24:55.164328,HOLD,177.29
2025-08-19 16:29:56.356254,HOLD,177.53
2025-08-19 16:34:57.408403,HOLD,177.45
2025-08-19 16:39:58.466005,HOLD,177.07
2025-08-19 16:44:59.476939,HOLD,176.66
2025-08-19 16:50:00.544297,HOLD,176.58
2025-08-19 16:55:01.485355,HOLD,176.74
2025-08-19 17:00:02.582946,HOLD,176.47
2025-08-19 17:05:03.602697,HOLD,176.45
2025-08-19 17:10:05.003518,HOLD,175.99
2025-08-19 17:30:06.875304,HOLD,176.63
2025-08-19 18:04:17.024470,HOLD,176.71
2025-08-19 18:09:18.002674,HOLD,176.85
2025-08-19 18:14:19.079310,HOLD,177.07
2025-08-19 18:19:20.223405,HOLD,176.65
2025-08-19 18:24:21.292067,HOLD,176.60
2025-08-19 18:29:22.256920,HOLD,176.57
2025-08-19 18:34:27.623260,HOLD,176.51
2025-08-19 18:39:28.586473,HOLD,176.46
2025-08-19 18:44:29.587653,HOLD,176.26
2025-08-19 18:49:33.491015,HOLD,176.11
2025-08-19 18:54:37.279716,HOLD,176.34
2025-08-19 18:59:38.445475,HOLD,176.37
2025-08-19 19:04:44.220732,HOLD,176.15
2025-08-19 19:13:40.730100,HOLD,175.90
2025-08-19 19:18:42.313565,HOLD,175.70
2025-08-19 19:23:47.965861,HOLD,176.26
2025-08-19 19:28:48.945166,HOLD,176.25
2025-08-19 19:33:49.902073,HOLD,176.29
2025-08-19 19:38:50.987729,HOLD,176.37
2025-08-19 19:43:52.061720,HOLD,176.09
2025-08-19 19:48:53.030961,HOLD,176.05
2025-08-19 19:53:54.058583,HOLD,175.76
2025-08-19 19:58:57.252008,HOLD,175.68
2025-08-19 20:03:58.390754,HOLD,175.65
2025-08-19 20:08:59.410544,HOLD,175.65
2025-08-20 13:08:26.631916,HOLD,175.65
2025-08-20 13:13:28.116765,HOLD,175.65
2025-08-20 13:18:29.670763,HOLD,175.65
2025-08-20 13:23:33.488318,HOLD,175.65
2025-08-20 13:32:31.327625,HOLD,174.27
2025-08-20 13:37:32.200143,HOLD,173.95
2025-08-20 13:42:35.679503,HOLD,173.72
2025-08-20 13:47:36.852626,HOLD,171.92
2025-08-20 13:52:37.946988,HOLD,171.52
2025-08-20 13:57:39.100929,HOLD,170.37
2025-08-20 14:02:41.316227,HOLD,171.59
2025-08-20 14:07:44.065206,HOLD,170.26
2025-08-20 14:12:45.374155,HOLD,169.99
2025-08-20 19:04:31.240782,HOLD,173.69
2025-08-20 19:16:19.000165,HOLD,174.25
2025-08-20 19:27:04.977266,HOLD,174.52
2025-08-20 19:40:18.681063,HOLD,174.60
2025-08-20 19:45:19.842725,HOLD,174.58
2025-08-20 19:50:20.967358,HOLD,174.84
2025-08-20 19:55:22.229077,HOLD,175.09
2025-08-20 20:00:23.436127,HOLD,175.37
2025-08-20 20:05:27.894677,HOLD,175.39
2025-08-20 20:10:28.958909,HOLD,175.39
2025-08-20 20:15:30.166418,HOLD,175.39
2025-08-20 20:20:31.282841,HOLD,175.39
2025-08-20 20:25:32.200255,HOLD,175.39
2025-08-20 20:30:33.580469,HOLD,175.39
2025-08-20 20:35:38.255732,HOLD,175.39
2025-08-20 20:40:39.530798,HOLD,175.39
2025-08-20 20:45:40.834239,HOLD,175.39
2025-08-20 20:50:41.912907,HOLD,175.39
2025-08-20 20:55:43.015908,HOLD,175.39
2025-08-20 21:00:44.046697,HOLD,175.39
2025-08-20 21:05:45.062929,HOLD,175.39
2025-08-20 21:10:46.853975,HOLD,175.39
2025-08-20 21:15:47.788544,HOLD,175.39
2025-08-20 21:20:48.807589,HOLD,175.39
2025-08-20 21:25:49.894217,HOLD,175.39
2025-08-20 21:30:51.169772,HOLD,175.39
2025-08-20 21:35:52.282691,HOLD,175.39
2025-08-21 13:54:40.975054,HOLD,175.43
2025-08-21 13:59:41.964074,HOLD,174.62
2025-08-21 14:05:32.843685,HOLD,175.34
2025-08-21 14:10:33.800944,HOLD,175.62
2025-08-21 14:15:35.051970,HOLD,175.41
2025-08-21 14:20:36.000891,HOLD,175.77
2025-08-21 14:25:36.981454,HOLD,176.03
2025-08-21 14:30:38.239383,HOLD,176.16
2025-08-21 14:35:39.542660,HOLD,175.81
2025-08-21 14:40:40.467788,HOLD,175.35
2025-08-21 14:45:41.365959,HOLD,175.47
2025-08-21 14:50:42.160067,HOLD,175.52
2025-08-21 14:55:43.241189,HOLD,175.81
2025-08-21 15:00:44.267578,HOLD,175.97
2025-08-21 15:05:45.308161,HOLD,175.55
2025-08-21 15:10:46.276737,HOLD,175.19
2025-08-21 15:15:47.353024,HOLD,174.68
2025-08-21 15:41:54.253297,HOLD,175.57
