datetime,signal,close
2025-08-19 15:06:18.918835,HOLD,17.83
2025-08-19 15:10:17.752443,HOLD,17.83
2025-08-19 15:14:47.270965,HOLD,17.80
2025-08-19 15:19:48.704936,HOLD,17.78
2025-08-19 15:24:49.753975,HOLD,17.80
2025-08-19 15:36:37.540477,HOLD,17.76
2025-08-19 15:41:38.568395,HOLD,17.80
2025-08-19 15:46:39.471932,HOLD,17.75
2025-08-19 15:51:40.562415,HOLD,17.80
2025-08-19 15:56:41.543447,HOLD,17.81
2025-08-19 16:04:50.811598,HOLD,17.80
2025-08-19 16:09:51.745496,HOLD,17.84
2025-08-19 16:14:52.825320,HOLD,17.88
2025-08-19 16:19:53.858821,HOLD,17.83
2025-08-19 16:24:54.938676,HOLD,17.83
2025-08-19 16:29:56.064547,HOLD,17.87
2025-08-19 16:34:57.170321,HOLD,17.87
2025-08-19 16:39:58.220002,HOLD,17.92
2025-08-19 16:44:59.239612,HOLD,17.95
2025-08-19 16:50:00.269642,HOLD,17.94
2025-08-19 16:55:01.253627,HOLD,17.96
2025-08-19 17:00:02.315798,HOLD,17.97
2025-08-19 17:05:03.357614,HOLD,18.00
2025-08-19 17:10:04.475016,HOLD,18.03
2025-08-19 17:30:06.639355,HOLD,17.96
2025-08-19 18:04:16.811540,HOLD,18.00
2025-08-19 18:09:17.782899,HOLD,17.94
2025-08-19 18:14:18.794727,HOLD,17.97
2025-08-19 18:19:19.968752,HOLD,17.98
2025-08-19 18:24:21.059438,HOLD,17.99
2025-08-19 18:29:22.018038,HOLD,17.99
2025-08-19 18:34:25.240139,SELL,18.01
2025-08-19 18:39:28.352672,HOLD,18.02
2025-08-19 18:44:29.353265,HOLD,18.02
2025-08-19 18:49:30.445796,SELL,18.05
2025-08-19 18:54:37.058843,SELL,18.01
2025-08-19 18:59:38.206999,SELL,18.01
2025-08-19 19:04:41.983810,SELL,18.07
2025-08-19 19:13:40.487478,SELL,18.07
2025-08-19 19:18:42.063275,SELL,18.08
2025-08-19 19:23:45.498203,SELL,18.04
2025-08-19 19:28:48.743300,HOLD,18.02
2025-08-19 19:33:49.692653,HOLD,18.01
2025-08-19 19:38:50.696342,HOLD,18.02
2025-08-19 19:43:51.824053,HOLD,18.01
2025-08-19 19:48:52.815519,HOLD,18.02
2025-08-19 19:53:53.846999,HOLD,18.05
2025-08-19 19:58:56.993146,HOLD,18.02
2025-08-19 20:03:58.059097,HOLD,18.03
2025-08-19 20:08:59.176295,HOLD,17.99
2025-08-20 13:08:26.081637,HOLD,17.99
2025-08-20 13:13:27.804888,HOLD,17.99
2025-08-20 13:18:29.162467,HOLD,17.99
2025-08-20 13:23:33.086143,HOLD,17.99
2025-08-20 13:32:29.000740,SELL(STRONGLY),18.23
2025-08-20 13:37:32.009553,SELL(STRONGLY),18.21
2025-08-20 13:42:35.448977,HOLD,18.29
2025-08-20 13:47:36.586668,HOLD,18.44
2025-08-20 13:52:37.648619,HOLD,18.59
2025-08-20 13:57:38.823690,HOLD,18.74
2025-08-20 14:02:40.993352,HOLD,18.61
2025-08-20 14:07:43.713213,HOLD,18.80
2025-08-20 14:12:45.096193,HOLD,18.83
2025-08-20 19:04:31.034381,HOLD,18.49
2025-08-20 19:16:18.739131,HOLD,18.37
2025-08-20 19:27:04.739545,HOLD,18.34
2025-08-20 19:40:18.421106,HOLD,18.34
2025-08-20 19:45:19.573965,HOLD,18.31
2025-08-20 19:50:20.718124,HOLD,18.29
2025-08-20 19:55:21.988463,HOLD,18.25
2025-08-20 20:00:23.112140,HOLD,18.32
2025-08-20 20:05:27.593024,HOLD,18.34
2025-08-20 20:10:28.761059,HOLD,18.34
2025-08-20 20:15:29.795135,HOLD,18.34
2025-08-20 20:20:31.075197,HOLD,18.34
2025-08-20 20:25:31.958232,HOLD,18.34
2025-08-20 20:30:33.279962,HOLD,18.34
2025-08-20 20:35:37.766240,HOLD,18.34
2025-08-20 20:40:39.310069,HOLD,18.34
2025-08-20 20:45:40.601774,HOLD,18.34
2025-08-20 20:50:41.666283,HOLD,18.34
2025-08-20 20:55:42.790952,HOLD,18.34
2025-08-20 21:00:43.838323,HOLD,18.34
2025-08-20 21:05:44.871613,HOLD,18.34
2025-08-20 21:10:46.578345,HOLD,18.34
2025-08-20 21:15:47.589115,HOLD,18.34
2025-08-20 21:20:48.610979,HOLD,18.34
2025-08-20 21:25:49.684578,HOLD,18.34
2025-08-20 21:30:50.878644,HOLD,18.34
2025-08-20 21:35:52.001091,HOLD,18.34
2025-08-21 13:54:40.508567,HOLD,18.53
2025-08-21 13:59:41.720733,HOLD,18.65
2025-08-21 14:05:32.615391,HOLD,18.47
2025-08-21 14:10:33.587255,HOLD,18.46
2025-08-21 14:15:34.503021,HOLD,18.46
2025-08-21 14:20:35.772605,HOLD,18.40
2025-08-21 14:25:36.793023,HOLD,18.36
2025-08-21 14:30:37.742250,HOLD,18.33
2025-08-21 14:35:39.212381,HOLD,18.40
2025-08-21 14:40:40.263609,HOLD,18.48
2025-08-21 14:45:41.163942,HOLD,18.49
2025-08-21 14:50:41.961540,HOLD,18.48
2025-08-21 14:55:42.983931,HOLD,18.42
2025-08-21 15:00:44.062866,HOLD,18.39
2025-08-21 15:05:45.097951,HOLD,18.46
2025-08-21 15:10:46.062926,HOLD,18.49
2025-08-21 15:15:47.079524,HOLD,18.59
2025-08-21 15:41:53.952232,HOLD,18.42
2025-08-21 15:46:54.887764,HOLD,18.48
2025-08-21 15:51:55.847803,HOLD,18.55
2025-08-21 15:56:56.926017,HOLD,18.62
2025-08-21 16:15:59.876450,HOLD,18.64
2025-08-21 16:21:00.997149,HOLD,18.61
2025-08-21 16:30:48.350623,HOLD,18.64
2025-08-21 16:35:50.796292,HOLD,18.68
2025-08-21 16:40:52.568624,HOLD,18.65
2025-08-21 16:45:53.568057,HOLD,18.65
2025-08-21 16:57:15.807462,HOLD,18.67
2025-08-21 17:26:01.488314,HOLD,18.81
2025-08-21 17:47:11.920962,HOLD,18.61
2025-08-21 18:04:21.304445,HOLD,18.61
2025-08-21 18:15:55.257230,HOLD,18.62
2025-08-21 18:20:56.183189,HOLD,18.60
2025-08-21 18:25:57.149757,HOLD,18.61
2025-08-21 18:34:09.861975,HOLD,18.64
2025-08-21 18:39:11.268170,HOLD,18.59
2025-08-21 18:44:12.794359,HOLD,18.63
2025-08-21 18:49:13.800671,HOLD,18.65
2025-08-21 18:54:15.214667,HOLD,18.59
2025-08-21 18:59:16.155956,HOLD,18.56
2025-08-21 19:04:17.131487,HOLD,18.54
2025-08-21 19:19:37.061579,HOLD,18.54
2025-08-21 19:46:21.371557,HOLD,18.61
2025-08-21 19:51:22.419767,HOLD,18.56
2025-08-21 19:56:23.725876,HOLD,18.56
2025-08-21 20:01:24.799000,HOLD,18.59
2025-08-21 20:06:25.872395,HOLD,18.59
2025-08-21 20:11:26.848737,HOLD,18.59
2025-08-21 20:16:27.851100,HOLD,18.59
2025-08-21 20:21:28.778832,HOLD,18.59
2025-08-21 20:26:29.812674,HOLD,18.59
2025-08-21 20:31:30.744189,HOLD,18.59
2025-08-22 14:04:01.434192,HOLD,17.86
2025-08-22 14:09:02.832059,HOLD,17.79
2025-08-22 14:14:05.357891,HOLD,17.75
2025-08-22 14:19:06.523813,HOLD,17.72
2025-08-22 14:28:47.271022,HOLD,17.82
2025-08-22 14:34:30.547219,HOLD,17.72
2025-08-22 14:39:31.982636,HOLD,17.69
2025-08-22 14:59:50.882456,HOLD,17.67
2025-08-22 15:04:51.867387,HOLD,17.57
2025-08-22 15:27:28.132131,HOLD,17.65
2025-08-22 15:32:29.231563,HOLD,17.59
2025-08-22 15:43:04.788543,HOLD,17.64
2025-08-22 15:48:05.733364,HOLD,17.65
2025-08-22 15:53:31.193187,HOLD,17.70
2025-08-22 15:58:32.109984,HOLD,17.73
2025-08-22 16:03:33.251945,HOLD,17.71
2025-08-22 16:08:34.237047,HOLD,17.75
2025-08-22 16:13:35.406917,HOLD,17.78
2025-08-22 16:52:27.920791,HOLD,17.84
2025-08-22 17:58:43.581911,HOLD,17.67
2025-08-22 18:03:47.189657,HOLD,17.65
2025-08-22 18:08:51.158083,HOLD,17.67
2025-08-22 18:15:57.725282,HOLD,17.67
2025-08-22 18:21:00.896492,HOLD,17.67
2025-08-22 18:26:04.042422,HOLD,17.69
2025-08-22 18:31:05.068423,HOLD,17.68
2025-08-22 18:36:08.233355,HOLD,17.65
2025-08-22 18:41:14.845070,HOLD,17.69
2025-08-22 18:46:15.829866,HOLD,17.69
2025-08-22 18:51:19.049727,HOLD,17.70
2025-08-22 18:56:24.323168,HOLD,17.72
2025-08-22 19:01:25.287628,HOLD,17.71
2025-08-22 19:06:51.573748,HOLD,17.71
2025-08-22 19:12:57.024407,HOLD,17.73
2025-09-18 14:38:56.715301,HOLD,15.71
